"scenario_id","pathogen","intervention","e_max_mult","delay_max","antiviral_start","n_sim","p_epidemic","mean_infected","median_infected","q25_infected","q75_infected"
73,"H1N1","Mild",1,4,0,500,0.194,41.828,3,1,24.25
74,"SARS-CoV-2","Mild",1,4,0,500,0.642,62.238,69,2,101.25
75,"H1N1","Moderate",1,4,0,500,0,4.368,1,1,3
76,"SARS-CoV-2","Moderate",1,4,0,500,0,2.654,1,1,2
77,"H1N1","Intensive",1,4,0,500,0,2.26,1,1,2
78,"SARS-CoV-2","Intensive",1,4,0,500,0,1.806,1,1,2
79,"H1N1","Maximum",1,4,0,500,0,1.77,1,1,2
80,"SARS-CoV-2","Maximum",1,4,0,500,0,1.56,1,1,2
81,"H1N1","Mild",0,1,14,500,0.34,47.624,5,2,98
82,"SARS-CoV-2","Mild",0,1,14,500,0.758,62.456,70,30.5,87.25
83,"H1N1","Moderate",0,1,14,500,0.006,19.632,5,2,22.5
84,"SARS-CoV-2","Moderate",0,1,14,500,0,13.534,6,3,15
85,"H1N1","Intensive",0,1,14,500,0.008,15.666,5,2,20
86,"SARS-CoV-2","Intensive",0,1,14,500,0,9.64,6,2,13
87,"H1N1","Maximum",0,1,14,500,0.004,14.392,5,2,18.25
88,"SARS-CoV-2","Maximum",0,1,14,500,0.004,8.652,6,2.75,11.25
89,"H1N1","Mild",0.25,1,14,500,0.336,54.56,5,2,106
90,"SARS-CoV-2","Mild",0.25,1,14,500,0.75,66.538,71,24,98
91,"H1N1","Moderate",0.25,1,14,500,0.008,18.372,5,2,22
92,"SARS-CoV-2","Moderate",0.25,1,14,500,0.002,10.838,6,2.75,13
93,"H1N1","Intensive",0.25,1,14,500,0.004,14.946,5,2,19
94,"SARS-CoV-2","Intensive",0.25,1,14,500,0.002,9.05,6,2,11
95,"H1N1","Maximum",0.25,1,14,500,0.004,14.102,5,2,18
96,"SARS-CoV-2","Maximum",0.25,1,14,500,0.002,8.11,6,2,11
97,"H1N1","Mild",0.5,1,14,500,0.294,57.952,5,2,102
98,"SARS-CoV-2","Mild",0.5,1,14,500,0.71,65.842,73,6,96.25
99,"H1N1","Moderate",0.5,1,14,500,0.006,16.376,5,2,21
100,"SARS-CoV-2","Moderate",0.5,1,14,500,0,10.128,6,2.75,13
101,"H1N1","Intensive",0.5,1,14,500,0.004,13.994,5,2,18
102,"SARS-CoV-2","Intensive",0.5,1,14,500,0.002,8.216,6,2,11
103,"H1N1","Maximum",0.5,1,14,500,0.004,13.758,5,2,18
